person_id,field,old_value,new_value
P000001,marriage_status_norm,,Женат на родине
P000001,occupation_norm,,Хлебопек
P000001,origin_place_norm,,Подольская губерния
P000002,marriage_status_norm,,Женат на родине
P000002,origin_place_norm,,Подольская губерния
P000003,marriage_status_norm,,Холост
P000003,origin_place_norm,,Сибирь
P000004,marriage_status_norm,,Холост
P000004,origin_place_norm,,На Сахалине
P000005,origin_place_norm,,На Сахалине
P000006,living_alone_status,,Одинок
P000006,marriage_status_norm,,Холост
P000006,occupation_norm,,Работник
P000006,origin_place_norm,,Херсонская губерния
P000007,marriage_status_norm,,Женат на Сахалине
P000007,occupation_norm,,Хлебопашец
P000007,origin_place_norm,,Новгородская губерния
P000008,marriage_status_norm,,Женат на Сахалине
P000008,origin_place_norm,,Волынская губерния
P000009,origin_place_norm,,Приморская область
P000010,living_alone_status,,Одинок
P000010,marriage_status_norm,,Женат на родине
P000010,occupation_norm,,Работник
P000010,origin_place_norm,,Бессарабская губерния
P000011,living_alone_status,,Одинок
P000011,marriage_status_norm,,Холост
P000011,occupation_norm,,Надзиратель
P000011,origin_place_norm,,Самарская губерния
P000012,marriage_status_norm,,Женат на родине
P000012,origin_place_norm,,Самарская губерния
P000013,marriage_status_norm,,Женат на родине
P000013,occupation_norm,,Чернорабочий
P000013,origin_place_norm,,Саратовская губерния
P000014,marriage_status_norm,,Холост
P000014,occupation_norm,,При матери
P000014,origin_place_norm,,Самарская губерния
P000015,marriage_status_norm,,Холост
P000015,occupation_norm,,При матери
P000015,origin_place_norm,,Самарская губерния
P000016,living_alone_status,,Одинок
P000016,marriage_status_norm,,Холост
P000016,occupation_norm,,Чернорабочий
P000016,origin_place_norm,,Курская губерния
P000017,marriage_status_norm,,Женат на родине
P000017,occupation_norm,,Чернорабочий
P000017,origin_place_norm,,Нижегородская губерния
P000018,marriage_status_norm,,Женат на родине
P000018,occupation_norm,,При муже
P000018,origin_place_norm,,Нижегородская губерния
P000019,age_months,,30
P000019,origin_place_norm,,На Сахалине
P000020,age_months,,3
P000020,comments,3 месяца,
P000020,origin_place_norm,,На Сахалине
P000021,living_alone_status,,Одинок
P000021,marriage_status_norm,,Женат на родине
P000021,occupation_norm,,Чернорабочий
P000021,origin_place_norm,,Нижегородская губерния
P000022,marriage_status_norm,,Женат на родине
P000022,occupation_norm,,Хлебопек
P000022,origin_place_norm,,Курская губерния
P000023,marriage_status_norm,,Женат на родине
P000023,occupation_norm,,При муже
P000023,origin_place_norm,,Курская губерния
P000024,marriage_status_norm,,Женат на Сахалине
P000024,occupation_norm,,Надзиратель
P000024,origin_place_norm,,В пути
P000025,marriage_status_norm,,Женат на Сахалине
P000025,occupation_norm,,При муже
P000025,origin_place_norm,,Екатеринославская губерния
P000026,origin_place_norm,,На Сахалине
P000027,age_months,,6
P000027,comments,6 месяцев,
P000027,origin_place_norm,,На Сахалине
P000028,marriage_status_norm,,Холост
P000028,origin_place_norm,,На Сахалине
P000029,marriage_status_norm,,Холост
P000029,origin_place_norm,,На Сахалине
P000030,marriage_status_norm,,Женат на Сахалине
P000030,occupation_norm,,Приказчик
P000030,origin_place_norm,,Усть-Кара
P000031,marriage_status_norm,,Женат на Сахалине
P000031,occupation_norm,,При муже
P000031,origin_place_norm,,Херсонская губерния
P000032,age_months,,24
P000032,origin_place_norm,,На Сахалине
P000033,marriage_status_norm,,Женат на Сахалине
P000033,occupation_norm,,Хлебопашец
P000033,origin_place_norm,,Курская губерния
P000034,marriage_status_norm,,Женат на Сахалине
P000034,occupation_norm,,При муже
P000034,origin_place_norm,,Нижегородская губерния
P000035,age_months,,3
P000035,comments,3 месяца,
P000035,origin_place_norm,,На Сахалине
P000036,living_alone_status,,Одинок
P000036,marriage_status_norm,,Женат на родине
P000036,occupation_norm,,Работник
P000036,origin_place_norm,,Саратовская губерния
P000037,living_alone_status,,Одинок
P000037,marriage_status_norm,,Холост
P000037,occupation_norm,,Работник
P000037,origin_place_norm,,Минская губерния
P000038,living_alone_status,,Одинок
P000038,marriage_status_norm,,Женат на родине
P000038,occupation_norm,,Повар
P000038,origin_place_norm,,Люблинская губерния
P000039,marriage_status_norm,,Холост
P000039,occupation_norm,,Кухарка
P000039,origin_place_norm,,Самарская губерния
P000040,marriage_status_norm,,Холост
P000040,occupation_norm,,Хлебопашец
P000040,origin_place_norm,,Область Войска Донского
P000041,marriage_status_norm,,Холост
P000041,origin_place_norm,,Могилёвская губерния
P000042,marriage_status_norm,,Женат на родине
P000042,occupation_norm,,Сапожник
P000042,origin_place_norm,,Радомская губерния
P000043,marriage_status_norm,,Вдов
P000043,occupation_norm,,Чернорабочий
P000043,origin_place_norm,,Плоцкая губерния
P000044,age_months,,12
P000044,comments,338,
P000044,origin_place_norm,,На Сахалине
P000045,living_alone_status,,Одинок
P000045,marriage_status_norm,,Холост
P000045,occupation_norm,,Сапожник
P000045,origin_place_norm,,Томская губерния
P000046,marriage_status_norm,,Женат на родине
P000046,occupation_norm,,Хлебопашец
P000046,origin_place_norm,,Подольская губерния
P000047,age,2,64
P000047,marriage_status_norm,,Женат на родине
P000047,occupation_norm,,При муже
P000047,origin_place_norm,,Подольская губерния
P000048,living_alone_status,,Одинок
P000048,marriage_status_norm,,Холост
P000048,occupation_norm,,Хлебопашец
P000048,origin_place_norm,,Подольская губерния
P000049,marriage_status_norm,,Женат на Сахалине
P000049,occupation_norm,,При отце
P000049,origin_place_norm,,На Сахалине
P000050,marriage_status_norm,,Женат на Сахалине
P000050,occupation_norm,,При муже
P000050,origin_place_norm,,Харьковская губерния
P000051,age_months,,24
P000051,origin_place_norm,,На Сахалине
P000052,living_alone_status,,Одинок
P000052,marriage_status_norm,,Вдов
P000052,occupation_norm,,Работник
P000052,origin_place_norm,,Екатеринославская губерния
P000053,marriage_status_norm,,Женат на Сахалине
P000053,occupation_norm,,Хлебопашец
P000053,origin_place_norm,,Ковенская губерния
P000054,marriage_status_norm,,Женат на Сахалине
P000054,occupation_norm,,При муже
P000054,origin_place_norm,,Витебская губерния
P000055,origin_place_norm,,На Сахалине
P000056,origin_place_norm,,На Сахалине
P000058,marriage_status_norm,,Женат на родине
P000058,occupation_norm,,Чернорабочий
P000058,origin_place_norm,,Курская губерния
P000059,marriage_status_norm,,Женат на родине
P000059,occupation_norm,,При муже
P000059,origin_place_norm,,Курская губерния
P000060,marriage_status_norm,,Холост
P000060,occupation_norm,,При отце
P000060,origin_place_norm,,Курская губерния
P000061,age_months,,24
P000061,origin_place_norm,,На Сахалине
P000062,living_alone_status,,Одинок
P000062,marriage_status_norm,,Вдов
P000062,occupation_norm,,Работница
P000062,origin_place_norm,,Кубанская область
P000063,living_alone_status,,Одинок
P000063,marriage_status_norm,,Вдов
P000063,occupation_norm,,Хлебопашец
P000063,origin_place_norm,,Новгородская губерния
P000064,marriage_status_norm,,Женат на Сахалине
P000064,occupation_norm,,Хлебопашец
P000064,origin_place_norm,,Томская губерния
P000065,marriage_status_norm,,Женат на Сахалине
P000065,occupation_norm,,При муже
P000065,origin_place_norm,,На Сахалине
P000066,origin_place_norm,,На Сахалине
P000067,marriage_status_norm,,Женат на Сахалине
P000067,origin_place_norm,,Пензенская губерния
P000068,marriage_status_norm,,Женат на Сахалине
P000068,origin_place_norm,,Полтавская губерния
P000070,origin_place_norm,,На Сахалине
P000071,origin_place_norm,,На Сахалине
P000072,living_alone_status,,Одинок
P000072,marriage_status_norm,,Холост
P000072,occupation_norm,,Работник
P000072,origin_place_norm,,Лифляндская губерния
P000073,living_alone_status,,Одинок
P000073,marriage_status_norm,,Холост
P000073,occupation_norm,,Работник
P000073,origin_place_norm,,Радомская губерния
P000074,living_alone_status,,Одинок
P000074,marriage_status_norm,,Женат на родине
P000074,occupation_norm,,Работник
P000074,origin_place_norm,,Витебская губерния
P000075,living_alone_status,,Одинок
P000075,marriage_status_norm,,Холост
P000075,occupation_norm,,Работник
P000075,origin_place_norm,,Псковская губерния
P000076,marriage_status_norm,,Женат на родине
P000076,occupation_norm,,Служанка
P000076,origin_place_norm,,Оренбургская губерния
P000077,living_alone_status,,Одинок
P000077,marriage_status_norm,,Холост
P000077,occupation_norm,,Чернорабочий
P000077,origin_place_norm,,Бессарабская губерния
P000078,marriage_status_norm,,Женат на родине
P000078,occupation_norm,,Чернорабочий
P000078,origin_place_norm,,Лифляндская губерния
P000079,marriage_status_norm,,Женат на родине
P000079,occupation_norm,,При муже
P000079,origin_place_norm,,Лифляндская губерния
P000080,age_months,,7
P000080,comments,7 месяцев,
P000080,origin_place_norm,,На Сахалине
P000081,marriage_status_norm,,Женат на родине
P000081,occupation_norm,,Чернорабочий
P000081,origin_place_norm,,Тамбовская губерния
P000082,marriage_status_norm,,Женат на родине
P000082,origin_place_norm,,Тамбовская губерния
P000083,living_alone_status,,Одинок
P000083,marriage_status_norm,,Женат на родине
P000083,occupation_norm,,Чернорабочий
P000083,origin_place_norm,,Иркутская губерния
P000084,marriage_status_norm,,Женат на родине
P000084,origin_place_norm,,Смоленская губерния
P000085,marriage_status_norm,,Женат на родине
P000085,occupation_norm,,Чернорабочий
P000085,origin_place_norm,,Самарская губерния
P000086,marriage_status_norm,,Женат на родине
P000086,occupation_norm,,При муже
P000086,origin_place_norm,,Самарская губерния
P000087,marriage_status_norm,,Холост
P000087,occupation_norm,,Чернорабочий
P000087,origin_place_norm,,Симбирская губерния
P000088,marriage_status_norm,,Холост
P000088,occupation_norm,,Чернорабочий
P000088,origin_place_norm,,Киевская губерния
P000091,marriage_status_norm,,Женат на Сахалине
P000091,occupation_norm,,Торговля
P000091,origin_place_norm,,Санкт-Петербургская губерния
P000092,marriage_status_norm,,Женат на Сахалине
P000092,occupation_norm,,Фельдшерица
P000093,age_months,,12
P000093,origin_place_norm,,На Сахалине
P000094,age_months,,2
P000094,comments,2 месяца,
P000094,origin_place_norm,,На Сахалине
P000095,living_alone_status,,Одинок
P000095,marriage_status_norm,,Женат на родине
P000095,occupation_norm,,Работник
P000095,origin_place_norm,,Лифляндская губерния
P000096,living_alone_status,,Одинок
P000096,marriage_status_norm,,Женат на родине
P000096,occupation_norm,,Работник
P000096,origin_place_norm,,Псковская губерния
P000097,marriage_status_norm,,Женат на родине
P000097,occupation_norm,,Нет занятия
P000097,origin_place_norm,,Пензенская губерния
P000098,marriage_status_norm,,Вдов
P000098,occupation_norm,,Торговля
P000098,origin_place_norm,,Персидский подданный
P000099,marriage_status_norm,,Вдов
P000099,origin_place_norm,,Калишская губерния
P000100,marriage_status_norm,,Холост
P000100,occupation_norm,,Рабочий
P000100,origin_place_norm,,Петроковская губерния
P000101,marriage_status_norm,,Женат на родине
P000101,occupation_norm,,Сторож
P000101,origin_place_norm,,Калишская губерния
P000102,living_alone_status,,Одинок
P000102,marriage_status_norm,,Вдов
P000102,origin_place_norm,,Харьковская губерния
P000103,marriage_status_norm,,Холост
P000103,origin_place_norm,,Тульская губерния
P000104,marriage_status_norm,,Холост
P000104,occupation_norm,,Старший надзиратель
P000104,origin_place_norm,,Рязанская губерния
